Title,Author,Rating,Rating Count,Source,Available,Duration,Holds,Wait (days)
The Third Chimpanzee,Jared Diamond,4.09,28812,BorrowBox,Yes,15h33m,0,0
The Unwinding of the Miracle,Julie Yip-Williams,4.09,11764,BorrowBox,Yes,11h14m,0,0
The Five,Hallie Rubenhold,4.09,69817,BorrowBox,Yes,10h20m,0,0
The Blind Watchmaker,Richard Dawkins,4.09,42071,BorrowBox,Yes,14h41m,0,0
Chinese Cinderella,Adeline Yen Mah,4.08,42016,BorrowBox,Yes,6h45m,0,0
Dopesick,Beth Macy,4.07,46396,BorrowBox,Yes,10h3m,0,0
Going Solo,Roald Dahl,4.07,34011,BorrowBox,Yes,4h38m,0,0
A Walk in the Woods,Bill Bryson,4.07,450620,BorrowBox,Yes,9h44m,0,0
Wild,Cheryl Strayed,4.07,876208,BorrowBox,No,13h1m,0,0
Unshakeable,Tony Robbins,4.06,17189,BorrowBox,Yes,7h21m,0,0
Reasons to Stay Alive,Matt Haig,4.06,113642,BorrowBox,Yes,4h19m,0,0
This Much is True,Miriam Margolyes,4.06,25767,BorrowBox,Yes,15h7m,0,0
The Comfort Book,Matt Haig,4.05,75427,BorrowBox,Yes,3h10m,0,0
SPQR,Mary Beard,4.05,84124,BorrowBox,Yes,18h30m,0,0
The Man Who Mistook His Wife for a Hat,Oliver Sacks,4.05,249808,BorrowBox,No,9h33m,0,0
The Seat of the Soul,Gary Zukav,4.03,48527,BorrowBox,Yes,10h12m,0,0
Why Be Happy When You Could Be Normal?,Jeanette Winterson,4.02,47331,BorrowBox,No,6h6m,0,0
Under The Banner of Heaven,Jon Krakauer,4.01,228134,BorrowBox,Yes,12h32m,0,0
The Let Them Theory,Mel Robbins,4.01,305103,BorrowBox,No,10h39m,0,0
The Consolations of Philosophy,Alain De Botton,4.01,34483,BorrowBox,Yes,6h41m,0,0
Pre-Suasion,Robert Cialdini,4.0,10678,BorrowBox,Yes,9h23m,0,0
A Street Cat Named Bob,James Bowen,3.99,61257,BorrowBox,Yes,6h0m,0,0
The Little Book of Lykke,Meik Wiking,3.99,20314,BorrowBox,Yes,4h27m,0,0
Knife,Salman Rushdie,3.98,28398,BorrowBox,Yes,6h23m,0,0
Untamed,Glennon Doyle,3.97,521167,BorrowBox,Yes,8h22m,0,0
The Line Becomes a River,Francisco Cantú,3.97,15659,BorrowBox,Yes,6h30m,0,0
David and Goliath,Malcolm Gladwell,3.97,193074,BorrowBox,Yes,7h0m,0,0
The Songlines,Bruce Chatwin,3.96,12570,BorrowBox,Yes,9h34m,0,0
My Thoughts Exactly,Lily Allen,3.96,26479,BorrowBox,Yes,6h14m,0,0
23 Things They Don't Tell You about Capitalism,Ha-Joon Chang,3.96,12785,BorrowBox,Yes,8h58m,0,0
Them,Jon Ronson,3.96,23006,BorrowBox,Yes,8h16m,0,0
The Salt Path,Raynor Winn,3.93,104856,BorrowBox,Yes,11h2m,0,0
Everything I Know About Love,Dolly Alderton,3.93,523009,BorrowBox,Yes,8h33m,0,0
So You've Been Publicly Shamed,Jon Ronson,3.93,66203,BorrowBox,Yes,7h27m,0,0
This is Marketing,Seth Godin,3.92,17952,BorrowBox,Yes,7h2m,0,0
Bad Feminist,Roxane Gay,3.92,119977,BorrowBox,Yes,11h3m,0,0
Empress Dowager Cixi,Jung Chang,3.92,10846,BorrowBox,No,19h3m,0,0
The Courage to be Disliked,Ichiro Kishimi,3.91,149370,BorrowBox,No,6h50m,0,0
Disrupted,Dan Lyons,3.91,17164,BorrowBox,Yes,9h17m,0,0
My Lucky Life in and Out of Show Business,Dick Van Dyke,3.9,15306,BorrowBox,Yes,7h42m,0,0
The Kennedy Curse,James Patterson,3.9,13885,BorrowBox,Yes,10h24m,0,0
The Art of the Start 2.0,Guy Kawasaki,3.9,29368,BorrowBox,Yes,9h45m,0,0
8 Rules of Love,Jay Shetty,3.89,30740,BorrowBox,Yes,10h11m,0,0
Small Victories,Anne Lamott,3.89,12276,BorrowBox,Yes,5h37m,0,0
The Monk Who Sold His Ferrari,Robin Sharma,3.89,186433,BorrowBox,Yes,7h14m,0,0
Status Anxiety,Alain De Botton,3.89,22093,BorrowBox,Yes,6h35m,0,0
Undoctored,Adam Kay,3.88,27846,BorrowBox,Yes,7h20m,0,0
Spark Joy,Marie Kondo,3.88,44421,BorrowBox,Yes,5h31m,0,0
The Last Days of John Lennon,James Patterson,3.88,10861,BorrowBox,Yes,8h51m,0,0
Revenge,Tom Bower,3.87,10055,BorrowBox,No,16h49m,0,0
The Good Nurse,Charles Graeber,3.86,28189,BorrowBox,Yes,11h35m,0,0
No One Is Too Small to Make a Difference,Greta Thunberg,3.85,28029,BorrowBox,Yes,1h15m,0,0
